Data;Índice Geral de Preços do Mercado - IGP-M(200045);Var 1 Ano;Var Mesmo Mês;Acc Dez
01/1996;125.977;1.73;16.17;1.73
02/1996;127.202;0.97;15.7;2.72
03/1996;127.715;0.4;14.87;3.13
04/1996;128.13;0.32;12.87;3.47
05/1996;130.121;1.55;13.97;5.08
06/1996;131.445;1.02;12.36;6.15
07/1996;133.213;1.35;11.84;7.57
08/1996;133.587;0.28;9.74;7.88
09/1996;133.722;0.1;10.63;7.99
10/1996;133.978;0.19;10.27;8.19
11/1996;134.242;0.2;9.18;8.41
12/1996;135.225;0.73;9.2;9.2
01/1997;137.613;1.77;9.24;1.77
02/1997;138.204;0.43;8.65;2.2
03/1997;139.795;1.15;9.46;3.38
04/1997;140.742;0.68;9.84;4.08
05/1997;141.04;0.21;8.39;4.3
06/1997;142.09;0.74;8.1;5.08
07/1997;142.221;0.09;6.76;5.17
08/1997;142.353;0.09;6.56;5.27
09/1997;143.042;0.48;6.97;5.78
10/1997;143.567;0.37;7.16;6.17
11/1997;144.481;0.64;7.63;6.84
12/1997;145.695;0.84;7.74;7.74
01/1998;147.091;0.96;6.89;0.96
02/1998;147.356;0.18;6.62;1.14
03/1998;147.635;0.19;5.61;1.33
04/1998;147.821;0.13;5.03;1.46
05/1998;148.021;0.14;4.95;1.6
06/1998;148.588;0.38;4.57;1.99
07/1998;148.339;-0.17;4.3;1.81
08/1998;148.109;-0.16;4.04;1.66
09/1998;147.984;-0.08;3.45;1.57
10/1998;148.1;0.08;3.16;1.65
11/1998;147.628;-0.32;2.18;1.33
12/1998;148.291;0.45;1.78;1.78
01/1999;149.533;0.84;1.66;0.84
02/1999;154.933;3.61;5.14;4.48
03/1999;159.325;2.83;7.92;7.44
04/1999;160.459;0.71;8.55;8.21
05/1999;159.996;-0.29;8.09;7.89
06/1999;160.573;0.36;8.07;8.28
07/1999;163.06;1.55;9.92;9.96
08/1999;165.603;1.56;11.81;11.67
09/1999;167.997;1.45;13.52;13.29
10/1999;170.861;1.7;15.37;15.22
11/1999;174.939;2.39;18.5;17.97
12/1999;178.099;1.81;20.1;20.1
01/2000;180.301;1.24;20.58;1.24
02/2000;180.935;0.35;16.78;1.59
03/2000;181.214;0.15;13.74;1.75
04/2000;181.635;0.23;13.2;1.99
05/2000;182.189;0.31;13.87;2.3
06/2000;183.745;0.85;14.43;3.17
07/2000;186.634;1.57;14.46;4.79
08/2000;191.087;2.39;15.39;7.29
09/2000;193.297;1.16;15.06;8.53
10/2000;194.04;0.38;13.57;8.95
11/2000;194.599;0.29;11.24;9.26
12/2000;195.827;0.63;9.95;9.95
01/2001;197.045;0.62;9.29;0.62
02/2001;197.491;0.23;9.15;0.85
03/2001;198.606;0.56;9.6;1.42
04/2001;200.591;1;10.44;2.43
05/2001;202.324;0.86;11.05;3.32
06/2001;204.31;0.98;11.19;4.33
07/2001;207.341;1.48;11.09;5.88
08/2001;210.211;1.38;10.01;7.35
09/2001;210.853;0.31;9.08;7.67
10/2001;213.339;1.18;9.95;8.94
11/2001;215.685;1.1;10.84;10.14
12/2001;216.163;0.22;10.38;10.38
01/2002;216.944;0.36;10.1;0.36
02/2002;217.074;0.06;9.92;0.42
03/2002;217.276;0.09;9.4;0.51
04/2002;218.486;0.56;8.92;1.07
05/2002;220.292;0.83;8.88;1.91
06/2002;223.688;1.54;9.48;3.48
07/2002;228.057;1.95;9.99;5.5
08/2002;233.348;2.32;11.01;7.95
09/2002;238.943;2.4;13.32;10.54
10/2002;248.199;3.87;16.34;14.82
11/2002;261.08;5.19;21.05;20.78
12/2002;270.867;3.75;25.31;25.31
01/2003;277.173;2.33;27.76;2.33
02/2003;283.506;2.28;30.6;4.67
03/2003;287.855;1.53;32.48;6.27
04/2003;290.512;0.92;32.97;7.25
05/2003;289.747;-0.26;31.53;6.97
06/2003;286.843;-1;28.23;5.9
07/2003;285.649;-0.42;25.25;5.46
08/2003;286.735;0.38;22.88;5.86
09/2003;290.127;1.18;21.42;7.11
10/2003;291.229;0.38;17.34;7.52
11/2003;292.657;0.49;12.09;8.04
12/2003;294.455;0.61;8.71;8.71
01/2004;297.039;0.88;7.17;0.88
02/2004;299.097;0.69;5.5;1.58
03/2004;302.484;1.13;5.08;2.73
04/2004;306.151;1.21;5.38;3.97
05/2004;310.152;1.31;7.04;5.33
06/2004;314.419;1.38;9.61;6.78
07/2004;318.532;1.31;11.51;8.18
08/2004;322.412;1.22;12.44;9.49
09/2004;324.651;0.69;11.9;10.25
10/2004;325.925;0.39;11.91;10.69
11/2004;328.588;0.82;12.28;11.59
12/2004;331.005;0.74;12.41;12.41
01/2005;332.298;0.39;11.87;0.39
02/2005;333.288;0.3;11.43;0.69
03/2005;336.123;0.85;11.12;1.55
04/2005;339.03;0.86;10.74;2.42
05/2005;338.299;-0.22;9.08;2.2
06/2005;336.801;-0.44;7.12;1.75
07/2005;335.663;-0.34;5.38;1.41
08/2005;333.474;-0.65;3.43;0.75
09/2005;331.69;-0.53;2.17;0.21
10/2005;333.694;0.6;2.38;0.81
11/2005;335.033;0.4;1.96;1.22
12/2005;335.006;-0.01;1.21;1.21
01/2006;338.083;0.92;1.74;0.92
02/2006;338.128;0.01;1.45;0.93
03/2006;337.339;-0.23;0.36;0.7
04/2006;335.921;-0.42;-0.92;0.27
05/2006;337.185;0.38;-0.33;0.65
06/2006;339.712;0.75;0.86;1.4
07/2006;340.312;0.18;1.39;1.58
08/2006;341.574;0.37;2.43;1.96
09/2006;342.561;0.29;3.28;2.26
10/2006;344.155;0.47;3.13;2.73
11/2006;346.746;0.75;3.5;3.5
12/2006;347.842;0.32;3.83;3.83
01/2007;349.593;0.5;3.4;0.5
02/2007;350.524;0.27;3.67;0.77
03/2007;351.717;0.34;4.26;1.11
04/2007;351.869;0.04;4.75;1.16
05/2007;352.02;0.04;4.4;1.2
06/2007;352.936;0.26;3.89;1.46
07/2007;353.92;0.28;4;1.75
08/2007;357.404;0.98;4.63;2.75
09/2007;361.997;1.29;5.67;4.07
10/2007;365.794;1.05;6.29;5.16
11/2007;368.334;0.69;6.23;5.89
12/2007;374.815;1.76;7.75;7.75
01/2008;378.9;1.09;8.38;1.09
02/2008;380.906;0.53;8.67;1.63
03/2008;383.731;0.74;9.1;2.38
04/2008;386.38;0.69;9.81;3.09
05/2008;392.592;1.61;11.53;4.74
06/2008;400.382;1.98;13.44;6.82
07/2008;407.446;1.76;15.12;8.71
08/2008;406.127;-0.32;13.63;8.35
09/2008;406.557;0.11;12.31;8.47
10/2008;410.524;0.98;12.23;9.53
11/2008;412.104;0.38;11.88;9.95
12/2008;411.575;-0.13;9.81;9.81
01/2009;409.782;-0.44;8.15;-0.44
02/2009;410.849;0.26;7.86;-0.18
03/2009;407.808;-0.74;6.27;-0.92
04/2009;407.181;-0.15;5.38;-1.07
05/2009;406.885;-0.07;3.64;-1.14
06/2009;406.486;-0.1;1.52;-1.24
07/2009;404.718;-0.43;-0.67;-1.67
08/2009;403.253;-0.36;-0.71;-2.02
09/2009;404.945;0.42;-0.4;-1.61
10/2009;405.129;0.05;-1.31;-1.57
11/2009;405.548;0.1;-1.59;-1.46
12/2009;404.499;-0.26;-1.72;-1.72
