"ano","mes","dia","Data","Valor"
1996,3,31,"31/03/1996",189323
1996,6,30,"30/06/1996",204611
1996,9,30,"30/09/1996",221513
1996,12,31,"31/12/1996",239316
1997,3,31,"31/03/1997",219117
1997,6,30,"30/06/1997",232890
1997,9,30,"30/09/1997",246178
1997,12,31,"31/12/1997",253904
1998,3,31,"31/03/1998",235701
1998,6,30,"30/06/1998",251936
1998,9,30,"30/09/1998",258043
1998,12,31,"31/12/1998",256671
1999,3,31,"31/03/1999",250668
1999,6,30,"30/06/1999",268709
1999,9,30,"30/09/1999",274126
1999,12,31,"31/12/1999",294208
2000,3,31,"31/03/2000",276927
2000,6,30,"30/06/2000",292789
2000,9,30,"30/09/2000",308896
2000,12,31,"31/12/2000",320481
2001,3,31,"31/03/2001",312470
2001,6,30,"30/06/2001",323724
2001,9,30,"30/09/2001",332524
2001,12,31,"31/12/2001",347038
2002,3,31,"31/03/2002",342297
2002,6,30,"30/06/2002",367363
2002,9,30,"30/09/2002",379795
2002,12,31,"31/12/2002",399333
2003,3,31,"31/03/2003",397242
2003,6,30,"30/06/2003",418987
2003,9,30,"30/09/2003",439350
2003,12,31,"31/12/2003",462372
2004,3,31,"31/03/2004",444783
2004,6,30,"30/06/2004",481795
2004,9,30,"30/09/2004",505252
2004,12,31,"31/12/2004",525920
2005,3,31,"31/03/2005",499710
2005,6,30,"30/06/2005",535557
2005,9,30,"30/09/2005",552859
2005,12,31,"31/12/2005",582458
2006,3,31,"31/03/2006",554270
2006,6,30,"30/06/2006",581977
2006,9,30,"30/09/2006",617848
2006,12,31,"31/12/2006",655355
2007,3,31,"31/03/2007",631423
2007,6,30,"30/06/2007",670655
2007,9,30,"30/09/2007",691846
2007,12,31,"31/12/2007",726339
2008,3,31,"31/03/2008",712055
2008,6,30,"30/06/2008",769525
2008,9,30,"30/09/2008",812603
2008,12,31,"31/12/2008",815620
2009,3,31,"31/03/2009",756127
2009,6,30,"30/06/2009",803577
2009,9,30,"30/09/2009",852843
2009,12,31,"31/12/2009",920492
2010,3,31,"31/03/2010",886397
2010,6,30,"30/06/2010",944145
2010,9,30,"30/09/2010",997935
2010,12,31,"31/12/2010",1057370
2011,3,31,"31/03/2011",1016531
2011,6,30,"30/06/2011",1086712
2011,9,30,"30/09/2011",1112334
2011,12,31,"31/12/2011",1160805
2012,3,31,"31/03/2012",1129474
2012,6,30,"30/06/2012",1183126
2012,9,30,"30/09/2012",1230449
2012,12,31,"31/12/2012",1271712
2013,3,31,"31/03/2013",1241614
2013,6,30,"30/06/2013",1322580
2013,9,30,"30/09/2013",1354134
2013,12,31,"31/12/2013",1413291
2014,3,31,"31/03/2014",1385980
2014,6,30,"30/06/2014",1422320
2014,9,30,"30/09/2014",1462126
2014,12,31,"31/12/2014",1508527
2015,3,31,"31/03/2015",1456671
2015,6,30,"30/06/2015",1479981
2015,9,30,"30/09/2015",1508227
2015,12,31,"31/12/2015",1550909
2016,3,31,"31/03/2016",1500226
2016,6,30,"30/06/2016",1558992
2016,9,30,"30/09/2016",1577187
2016,12,31,"31/12/2016",1632924
2017,3,31,"31/03/2017",1585969
2017,6,30,"30/06/2017",1630936
2017,9,30,"30/09/2017",1648571
2017,12,31,"31/12/2017",1720002
2018,3,31,"31/03/2018",1680867
2018,6,30,"30/06/2018",1733453
2018,9,30,"30/09/2018",1768337
2018,12,31,"31/12/2018",1821484
2019,3,31,"31/03/2019",1765633
2019,6,30,"30/06/2019",1834366
2019,9,30,"30/09/2019",1884003
2019,12,31,"31/12/2019",1923021
2020,3,31,"31/03/2020",1843863
2020,6,30,"30/06/2020",1708760
2020,9,30,"30/09/2020",1891735
2020,12,31,"31/12/2020",2003500
